Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
"Iraq (Central Iraq)",2009,0.5366756461815503,-0.1,0.15442266280111014,0.386446723505876,-0.1,-0.1,-0.1,-0.1
"Iraq (Kurdistan Region)",2009,0.25605935768362686,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Ireland,2009,0,0.8427673683658983,0.4335192224919382,0.8698874429678582,-0.1,0.9106569315831872,0.7169925001442312,-0.1
Israel,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,0.860793844337427,0.6643856189774724,-0.1
Italy,2009,0,-0.1,-0.1,0.8841611850250877,-0.1,0.8819768160585653,0.6,-0.1
Jamaica,2009,0.961932968171916,0.6518077962990713,0.725854417611447,-0.1,-0.1,0.704662470066457,0.6918863237274593,-0.1
Japan,2009,-0.1,0.6290482308950098,0,0.7501176896989751,-0.1,0.8913424073628785,0.4643856189774725,-0.1
Jordan,2009,0.16155546744299637,-0.1,-0.1,0.6165855990005263,-0.1,0.6916245691910154,0.7400879436282184,-0.1
Kazakhstan,2009,-0.1,0.6829829935827074,0.48950825960253475,0.6863659064857609,-0.1,0.744791745995018,0.5614709844115208,-0.1
Kazakhstan*,2009,0.55889009223603,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Kenya,2009,0.41761482512662323,0.18311931216750693,0.15442266280111014,0.4083355977840253,-0.1,0.5746659382411867,0.7169925001442312,-0.1
Kiribati,2009,0,-0.1,-0.1,-0.1,-0.1,0.601409830195893,-0.1,-0.1
Kosovo,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6772097368632909,-0.1,-0.1
"Kosovo under UNSCR 1244",2009,0.32311093488599274,0.7640008635898436,0.15442266280111014,0.7926830969630871,-0.1,-0.1,-0.1,-0.1
Kuwait,2009,0.16155546744299637,-0.1,0.3088453256022203,0.677347192160773,-0.1,0.8820589834133047,0.19999999999999998,-0.1
Kyrgyzstan,2009,0.4846664023289891,-0.1,0.3991767926023775,0.6378845142299335,-0.1,0.5680981751906911,0.6,-0.1
"Lao People's Democratic Republic",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5714925188187724,-0.1,-0.1
Latvia,2009,0.3751201787385539,0.6489256602512633,0.24475412980126737,0.8587698059160527,-0.1,0.7905713838044031,0.8339850002884623,-0.1
Lebanon,2009,0.25605935768362686,-0.1,0.3088453256022203,0.7792530621132853,-0.1,0.7589928086942183,0.5169925001442313,-0.1
Lesotho,2009,0.8352296502532465,0.72173208663056,1,0.65077005267933,-0.1,0.5669355107490955,-0.1,-0.1
Liberia,2009,0.32311093488599274,-0.1,-0.1,-0.1,-0.1,0.4691077069872005,-0.1,-0.1
Libya,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.7814448554058652,-0.1,-0.1
Liechtenstein,2009,-0.1,0.8315584427277518,-0.1,0.7551207646418596,-0.1,0.994083765766611,-0.1,-0.1
Lithuania,2009,0.4846664023289891,-0.1,0.3585583192452152,0.8161364221901631,-0.1,0.7866814070064213,0.7614709844115207,-0.1
Luxembourg,2009,0,0.8438820809877214,0.5342146423283259,0.864636325008766,-0.1,0.9672551944732304,0.4643856189774725,-0.1
Madagascar,2009,0,-0.1,-0.1,-0.1,-0.1,0.5062017231357445,-0.1,-0.1
Malawi,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,0.5091668470427267,-0.1,-0.1
Malaysia,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,0.7465191627135722,0.39999999999999997,-0.1
Maldives,2009,0.16155546744299637,0.5193653134716778,0.15442266280111014,0.853880605233348,-0.1,0.7376432578709758,-0.1,-0.1
Mali,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.5488203773234501,-0.1,-0.1
Malta,2009,0,0.7660175846222137,0.24475412980126737,0.8909600421130107,-0.1,0.8343405395986946,0.5614709844115208,-0.1
"Marshall Islands",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6691551193695315,-0.1,-0.1
Martinique,2009,0.25605935768362686,-0.1,-0.1,-0.1,-0.1,-0.1,0.8918863237274594,-0.1
Mauritania,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.583363653529056,-0.1,-0.1
Mauritius,2009,0.25605935768362686,0.6744579285384602,0.3585583192452152,0.830396076912652,-0.1,0.7441450137475563,0.5614709844115208,-0.1
Mayotte,2009,0.41761482512662323,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Mexico,2009,0.6603519699740766,0.6609845869441748,0.5714317548103368,0.5675532803002046,-0.1,0.7502887587207143,0.4643856189774725,-0.1
