Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
"Kosovo under UNSCR 1244",2011,0.24238018168771028,0.8026258291651693,0,0.8156379142090687,-0.1,-0.1,-0.1,-0.1
Kuwait,2011,0.15292486830283214,-0.1,-0.1,-0.1,0.7508582469993489,0.891859556803466,0.4036981731641997,-0.1
Kyrgyzstan,2011,0.48476036337542056,0.6717678892765063,0.40224961146048943,0.6411262187554053,0.9142642612608513,0.581136289731211,0.6398464660748923,-0.1
"Lao People's Democratic Republic",2011,-0.1,-0.1,-0.1,-0.1,0.9409545107407914,0.5915798781408766,-0.1,-0.1
Latvia,2011,0.24238018168771028,-0.1,0.15561139140249397,-0.1,0.722664293957563,0.7892343822538329,0.8073963463283994,-0.1
Lebanon,2011,0.3058497366056643,-0.1,0.31122278280498794,0.7837297025409486,0.8270373988726225,0.7514635545481643,-0.1,-0.1
Lesotho,2011,-0.1,-0.1,-0.1,-0.1,0.9692027241510822,0.5899282006068722,-0.1,-0.1
Liberia,2011,0.3058497366056643,-0.1,-0.1,-0.1,0.9884860310332673,0.4914826325102568,-0.1,-0.1
Libya,2011,-0.1,-0.1,-0.1,-0.1,0.8832281243855856,0.7264677883040063,-0.1,-0.1
Liechtenstein,2011,-0.1,0.7447013558842026,0.3613184615819645,0.742186076903968,0.517154629102141,1,-0.1,-0.1
Lithuania,2011,0.42931438173496667,-0.1,0.40224961146048943,0.8098760725329761,0.6895747032576224,0.7916170393627704,0.7886022980997756,-0.1
Luxembourg,2011,0,0.8702795094374269,0.5758305733409879,0.8863542871305203,0.5720930919923719,0.9646792834023983,0.4686790650623294,-0.1
Madagascar,2011,-0.1,0.14633159830528417,0.15561139140249397,-0.1,0.9668005620921596,0.5070181176551045,-0.1,-0.1
Malawi,2011,0.15292486830283214,-0.1,-0.1,-0.1,0.9807801697232416,0.5095223541065008,-0.1,-0.1
Malaysia,2011,-0.1,-0.1,-0.1,-0.1,0.7786847391510248,0.7662006981425125,0.31992323303744613,-0.1
Maldives,2011,0,0.46572348155343707,0.31122278280498794,0.8638710952742722,0.8887638559145544,0.7359160201124134,-0.1,-0.1
Mali,2011,-0.1,-0.1,-0.1,-0.1,0.9863159012522101,0.5566171676800735,0.5666620267290895,-0.1
Malta,2011,0,0.8003544529887473,0.31122278280498794,0.909993055269033,0.6677258310673322,0.831992799971694,0.5217723196195461,-0.1
"Marshall Islands",2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.6706677782982269,0.4686790650623294,-0.1
Martinique,2011,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.8865852597665357,-0.1
Mauritania,2011,-0.1,-0.1,-0.1,-0.1,0.965588054109883,0.6000888883201473,-0.1,-0.1
Mauritius,2011,0.24238018168771028,0.6173308887539316,0.3613184615819645,0.7863729823218298,0.7942192643174204,0.7538944375115773,0.6055472597462995,-0.1
Mayotte,2011,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Mexico,2011,0.6917651163897204,0.677651352479607,0.5578610028629835,0.5627900752508931,0.8295337659975028,0.7603356436973703,0.4686790650623294,-0.1
"Micronesia (Federated States of)",2011,-0.1,-0.1,-0.1,-0.1,0.9250913350791019,0.6631917036544562,-0.1,-0.1
"Moldova (Republic of)",2011,-0.1,-0.1,-0.1,-0.1,0.8923671583932828,-0.1,-0.1,-0.1
Monaco,2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.9941312640171759,-0.1,-0.1
Mongolia,2011,0.5080054164221279,0.6543497180643606,0.5758305733409879,0.6264550312369389,0.8635230962447856,0.6820116544292788,0.4686790650623294,-0.1
Montenegro,2011,0.24238018168771028,0.7043800391171916,-0.1,0.5584523929163403,0.7392808014271895,0.7364978023364758,0.8723772382265291,-0.1
Montserrat,2011,-0.1,-0.1,-0.1,-0.1,-0.1,0.7829009736582205,-0.1,-0.1
Morocco,2011,0,-0.1,-0.1,-0.1,0.9189797938239253,0.6661679665767829,0.6398464660748923,-0.1
